abandon	(v) bỏ, từ bỏ
impactt(n) sự và chạm, sự tác động, ảnh hưởng
impatientt(adj) thiếu kiên nhẫn, nóng vội
impatientlyt(adv) nóng lòng, sốt ruột
implicationt(n) sự lôi kéo, sự liên can, điều gợi ý
imply t(v) ngụ ý, bao hàm
importt(n) (v) sự nhập, sự nhập khẩu; nhập, nhập khẩu
importance t(n) sự quan trọng, tầm quan trọng
importantt(adj) quan trọng, hệ trọng
importantlyt(adv) quan trọng, trọng yếu
unimportantt(adj) không quan trọng, không trọng đại
imposet(v) đánh (thuế...), bắt gánh vác; đánh tráo, lợi dụng
impossible t(adj) không thể làm được, không thể xảy ra
impress t(v) ghi, khắc, in sâu vào; gây ấn tượng, làm cảm động
impressedt(adj) được ghi, khắc, in sâu vào
impression t(n) ấn tượng, cảm giác; sự in, đóng dấu
impressive t(adj) gây ấn tượng mạnh; hùng vĩ, oai vệ
improve t(v) cải thiện, cái tiến, mở mang
improvementt(n) sự cái thiện, sự cải tiến, sự mở mang
inabilityt(n) sự bất lực, bất tài
incident	t(n) việc xảy ra, việc có liên quan
include t(v) bao gồm, tính cả
includingt(prep) bao gồm, kể cả
incomet(n) lợi tức, thu nhập
increase	t(v) (n) tăng, tăng thêm; sự tăng, sự tăng thêm
increasinglyt(adv) tăng thêm
indeedt(adv) thật vậy, quả thật
independencet(n) sự độc lập, nền độc lập
independentt(adj) độc lập
independently t(adv)độc lập
index t(n) chỉ số, sự biểu thị
indicate	t(v) chỉ, cho biết; biểu thị, trình bày ngắn gọn
indication t(n) sự chỉ, sự biểu thị, sự biểu lộ
indirect	t(adj) gián tiếp
indirectly t(adv) gián tiếp
individual t(adj) (n) riêng, riêng biệt; cá nhân
indoors t(adv) ở trong nhà
indoort(adj) trong nhà
industrial t(adj) (thuộc) công nghiệp, kỹ nghệ
industry	t(n) công nghiệp, kỹ nghệ
inevitable t(adj) không thể tránh được, chắc chắn xảy ra; vẫn thường thấy,nghe
inevitably t(adv) chắc chắn
infectt(v) nhiễm, tiêm nhiễm, đầu độc, lan truyền
infected	t(adj) bị nhiễm, bị đầu độc
infectiont(n) sự nhiễm, sự đầu độc
infectious t(adj) lây, nhiễm
influencet(n) (v) sự ảnh hưởng, sự tác dụng; ảnh hưởng, tác động
informt(v) báo cho biết, cung cấp tin tức
informal	t(adj) không chính thức, không nghi thức
informationt(n) tin tức, tài liệu, kiến thức
ingredient t(n) phần hợp thành, thành phần
initial t(adj) (n) ban đầu, lúc đầu; chữ đầu (của 1 tên gọi)
initiallyt(adv) vào lúc ban đầu, ban đ
initiative t(n) bước đầu, sự khởi đầu
injuret(v) làm tổn thương, làm hại, xúc phạm
injured t(adj) bị tổn thương, bị xúc phạm
injuryt(n) sự làm tổn thương, làm hại; điều hại, điều tổn hại
inkt(n) mực
inner t(adj) ở trong, nội bộ; thân cận
innocent	t(adj) vô tội, trong trắng, ngây thơ
insectt(n) sâu bọ, côn trùng
insertt(v) chèn vào, lồng vào
insidet(n) (adj) mặt trong, phía, phần trong; ở trong, nội bộ
insist ont(v) cứ nhất định, cứ khăng khăng
install t(v) đặt (hệ thống máy móc, thiết bị...)
instance	t(n) thí dị, ví dụ; trường hợp cá biệt
for instancetví dụ chẳng hạn
instead t(adv) để thay thế
instead of tthay cho
institutet(n) viện, học viện
institutiont(n) sự thành lập, lập; cơ quan, trụ sở
instructiont(n) sự dạy, tài liệu cung cấp
instrument t(n) dụng cụ âm nhạc khí
insultt(v) (n) lăng mạ, xỉ nhục; lời lăng mạ, sự xỉ nhục
insultingt(adj) lăng mạ, xỉ nhục
insurancet(n) sự bảo hiểm
intelligencet(n) sự hiểu biết, trí thông minh
intelligentt(adj) thông minh, sáng trí
intendt(v) ý định, có ý định
intended	t(adj) có ý định, có dụng ý
intentiont(n) ý định, mục đích
interest	t(n) (v) sự thích thú, sự quan tâm, chú ý; làm quan tâm, chú ý
interestingt(adj) làm thích thú, làm quan tâm, làm chú ý
interested t(adj) có thích thú, có quan tâm, có chú ý
interior	t(n) (adj) phần trong, phía trong; ở trong, ở phía trong
internal	t(adj) ở trong, bên trong, nội địa
international t(adj) quốc tế
interprett(v) giải thích
interpretationt(n) sự giải thích
interruptt(v) làm gián đoạn, ngắt lời
interruptiont(n) sự gián đoạn, sự ngắt lời
interval	t(n) khoảng (k-t.gian), khoảng cách
interviewt(n) (v) cuộc phỏng vấn, sự gặp mặt; phỏng vấn, nói chuyện riêng
intot(prep) vào, vào trong
introducet(v) giới thiệu
introductiont(n) sự giới thiệu, lời giới thiệu
inventt(v) phát minh, sáng chế
inventiont(n) sự phát minh, sự sáng chế
investt(v) đầu tư
investigatet(v) điều tra, nghiên cứu
investigation t(n) sự điều tra, nghiên cứu
investment t(n) sự đầu tư, vốn đầu tư
invitation t(n) lời mời, sự mời
invitet(v) mời
involve t(v) bao gồm, bao hàm; thu hút, dồn tâm trí
involved intđể hết tâm trí vào
involvementt(n) sự gồm, sự bao hàm; sự để, dồn hết tâm trí vào
iront(n) (v) sắt; bọc sắt
irritate	t(v) làm phát cáu, chọc tức
irritating t(adj) làm phát cáu, chọc tức
irritatedt(adj) tức giận, cáu tiết
islandt(n) /´ailənd/ hòn đảo
issue t(n) (v) sự phát ra, sự phát sinh; phát hành, đưa ra
itemt(n) tin tức; khoả(n)., mó(n).., tiết mục
jackett(n) áo vét
jamt(n) mứt
jealous t(adj) ghen, ghen tị
jelly t(n) thạch
jewellerytn) nữ trang, kim hoàn
joint(v) gia nhập, tham gia; nối, chắp, ghép
joint t(adj) (n) chung (giữa 2 người hoặc hơn); chỗ nối, đầu nối
jointly t(adv) cùng nhau, cùng chung
joket(n) (v) trò cười, lời nói đùa; nói đùa, giễu cợt
journalist t(n) nhà báo
journey t(n) cuộc hành trình (đường bộ); quãng đường, chặng đường đi
joyt(n) niềm vui, sự vui mừng
judge t(n) (v) xét xử, phân xử; quan tòa, thẩm phán
judgementt(n)
juice t(n) nước ép (rau, củ, quả)
jumpt(v) (n) nhảy; sự nhảy, bước nhảy
juniort(adj) (n) trẻ hơn, ít tuổi hơn; người ít tuổi hơn
justt(adv) đúng, vừa đủ; vừa mới, chỉ
justice t(n) sự công bằng
justify t(v) bào chữa, biện hộ
justifiedt(adj) hợp lý, được chứng minh là đúng
keent(adj) sắc, bén
keen on tsay mê, ưa thích
keept(v) giữ, giữ lại
keyboard	t(n) bàn phím
kickt(v) (n) đá; cú đá
kidt(n) con dê non,đứa trẻ con
killing t(n) sự giết chóc, sự tàn sát
kilometretKilômet
kindt(n) (adj) loại, giống; tử tế, có lòng tốt
kindlyt(adv) tử tế, tốt bụng
unkindt(adj) không tốt, độc ác, tàn nhẫn
kindness	t(n) sự tử tế, lòng tốt
kingt(n) vua, quốc vương
kneet(n) đầu gối
knife t(n) con dao
knitt(v) đan, thêu
knitted t(adj) được đan, được thêu
knitting	t(n) việc đan; hàng dệt kim
knock t(v) (n) đánh, đập; cú đánh
knott(n) cái nơ; điểm nút, điểm trung tâm
unknown t(adj) không biết, không được nhận ra
well known t(adj) nổi tiếng, được nhiều người biết đến
knowledget(n) sự hiểu biết, tri thức
litre t(n) lít
label t(n) (v) nhãn, mác; dán nhãn, ghi mác
laboratory t(n) phòng thí nghiệm
labourt(n) lao động; công việc
lackt(n) (v) sự thiếu; thiếu
lacking t(adj) ngu đần, ngây ngô
ladyt(n) người yêu, vợ, quý bà, tiểu thư
laket(n) hồ
lampt(n) đèn
landt(n) (v) đất, đất canh tác, đất đai
landscapet(n) phong cảnh
lanet(n) đường nhỏ (làng, hẻm phố)
language	t(n) ngôn ngữ
large t(adj) rộng, lớn, to
largely t(adv) phong phú, ở mức độ lớn
lastt(adv) (n) (v) lầm cuối, sau cùng; người cuối cùng
latet(adj) (adv) trễ, muộn
later t(adv) (adj) chậm hơn
latestt(adj) (n) muộn nhất, chậm nhất, gần đây nhất
lattert(adj) (n) sau cùng, gần đây, mới đây
laugh t(v) (n) cười; tiếng cười
launcht(v) (n) hạ thủy (tàu); khai trương; sự hạ thủy, buổi giới thiệu sản phẩm
lawt(n) luật
lawyert(n) luật sư
layt(v) xếp, đặt, bố trí
layer t(n) lớp
lazyt(adj) lười biếng
leadt(v) (n) lãnh đạo, dẫn dắt; sự lãnh đạo, sự hướng dẫn
leading t(adj) lãnh đạo, dẫn đầu
leadert(n) người lãnh đạo, lãnh tụ
leaft(n) lá cây, lá (vàng...)
leaguet(n) liên minh, liên hoàn
leant(v) nghiêng, dựa, ỷ vào
learn t(v) học, nghiên cứu
least tpro (n) (adv) tối thiểu; ít nhất
at least	tít ra, ít nhất, chí ít
leather t(n) da thuộc
leather t(v) bỏ đi, rời đi, để lại
leave outtbỏ quên, bỏ sót
lecture t(n) bài diễn thuyết, bài thuyết trình, bài nói chuyện
leftt(adv) (n) bên trái; về phía trái
legt(n) chân (người, thú, bàn..)
legal t(adj) hợp pháp
legally t(adv) hợp pháp
lendt(v) cho vay, cho mượn
lengtht(n) chiều dài, độ dài
lesstpro (n) (adv) nhỏ bé, ít hơn; số lượng ít hơn
lessont(n) bài học
lett(v) cho phép, để cho
lettert(n) thư; chữ cái, mẫu tự
level t(n) (adj) trình độ, cấp, vị trí; bằng, ngang bằng
library t(n) thư viện
licence tn) bằng, chứng chỉ, bằng cử nhân;sự cho phép
license t(v) cấp chứng chỉ, cấp bằng, cho phép
lidt(n) nắp, vung (xoong, nồi..); mi mắt (eyelid)
liet(v) (n) nói dối; lời nói dối, sự dối trá
lifet(n) đời, sự sống
liftt(v) (n) giơ lên, nhấc lên; sự nâng, sự nhấc lên
light t(n) (adj) (v) ánh sáng; nhẹ, nhẹ nhàng; đốt, thắp sáng
lightly t(adv) nhẹ nhàng
unliket(prep) (adj) khác, không giống
likelyt(adj) (adv) có thể đúng, có thể xảy ra, có khả năng; có thể,chắc vậy
unlikely	t(adj) không thể xảy ra, không chắc xảy ra
limit t(n) (v) giới hạn, ranh giới; giới hạn, hạn chế
limited t(adj) hạn chế, có giới hạn
linet(n) dây, đường, tuyến
linkt(n) (v) mắt xích, mối liên lạc; liên kết, kết nối
lipt(n) môi
liquidt(n) (adj) chất lỏng; lỏng, êm ái, du dương, không vững
listt(n) (v) danh sách; ghi vào danh sách
literature t(n) /ˈlɪtərətʃər/ văn chương, văn học
littletpro (n) (adv) nhỏ, bé, chút ít; không nhiều; một chút
a little	tnhỏ, một ít
livet(v) (adj) (adv) sống, hoạt động
livingt(adj) sống, đang sống
livelyt(adj) sống, sinh động
loadt(n) (v) gánh nặng, vật nặng; chất, chở
unloadt(v) cất gánh nặng, dỡ hàng
loant(n) sự vay mượn
local t(adj) địa phương, bộ phận, cục bộ
locally t(adv) có tính chất địa phương, cục bộ
locatet(v) xác định vị trí, định vị
located t(adj) định vị
location	t(n) vị trí, sự định vị
lockt(v) (n) mớ tóc, mớ bông; khóa
logic t(n) lô gic
logical t(adj) hợp lý, hợp logic
lonelyt(adj) cô đơn, bơ vơ
longt(adj) (adv) dài, xa; lâu
lookt(v) (n) nhìn; cái nhìn
look after ttrông nom, chăm sóc
look at tnhìn, ngắm, xem
look for	ttìm kiếm
look forward to tmong đợi cách hân hoan
loose t(adj) lỏng, không chặt
loosely t(adv) lỏng lẻo
lordt(n) Chúa, vua
lorry txe tải
loset(v) mất, thua, lạc
lostt(adj) thua, mất
losst(n) sự mất, sự thua
loudt(adj) (adv) to, inh ỏi, ầm ĩ; to, lớn (nói)
loudlyt(adv) ầm ĩ, inh ỏi
lowt(adj) (adv) thấp, bé, lùn
loyal t(adj) trung thành, trung kiên
luckt(n) may mắn, vận may
lucky t(adj) gặp may, gặp may mắn, hạnh phúc
unlucky t(adj) không gặp may, bất hạnh
luggage t(n) hành lý
lumpt(n) cục, tảng, miếng; cái bướu
lungt(n) phổi
machine t(n) máy, máy móc
machineryt(n) máy móc, thiết bị
madt(adj) điên, mất trí; bực điên người
magazine	t(n) tạp chí
magic t(n) (adj) ma thuật, ảo thuật; (thuộc) ma thuật, ảo thuật
mailt(n) (v) thư từ, bưu kiện; gửi qua bưu điện
maint(adj) chính, chủ yếu, trọng yếu nhất
mainlyt(adv) chính, chủ yếu, phần lớn
maintain	t(v) giữ gìn, duy trì, bảo vệ
major t(adj) lớn, nhiều hơn, trọng đại, chủ yếu
majority	t(n) phần lớn, đa số, ưu thế
maket(v) (n) làm, chế tạo; sự chế tạo
make sth uptlàm thành, cấu thành, gộp thành
make up t(n) đồ hóa trang, son phấn
malltbúa
managet(v) quản lý, trông nom, điều khiển
management t(n) sự quản lý, sự trông nom, sự điều khiển
manager t(n) người quản lý, giám đốc
mannert(n) /'mænз/ cách, lối, kiểu; dáng, vẻ, thái độ
manufacturet(v) (n) sự chế tạo, sự sản xuất, chế tạo, sản xuất
manufacturing t(n) sự sản xuất, sự chế tạo
manufacturert(n) người chế tạo, người sản xuất
mapt(n) bản đồ
March ttháng ba
march t(v) (n) diễu hành, hành quân; cuộc hành quân, cuộc diễu hành
markt(n) (v) dấu, nhãn, nhãn mác; đánh dấu, ghi dấu
markett(n) chợ, thị trường
marriage	t(n) sự cưới xin, sự kết hôn, lễ cưới
marry t(v) cưới (vợ), lấy (chồng)
married t(adj) cưới, kết hôn
masst(n) (adj) khối, khối lượng; quần chúng, đại chúng
massive t(adj) to lớn, đồ sộ
mastert(n) chủ, chủ nhân, thầy giáo, thạc sĩ
match t(n) (v) trận thi đấu, đối thủ, địch thủ; đối chọi, sánh được
matching	t(adj) tính địch thù, thi đấu
matet(n) (v) bạn, bạn nghề; giao phối
material	t(n) (adj) nguyên vật liệu; vật chất, hữu hình
mathematicst(n) toán học,môn toán
mattert(n) (v) chất, vật chất; có ý nghĩa, có tính chất quan trọng
maximum t(adj) (n) cực độ, tối đa; trị số cực đại, lượng cực đại, cực độ
maybe t(adv) có thể, có lẽ
mayor t(n) thị trưởng
mealt(n) bữa ăn
meant(v) nghĩa, có nghĩa là
meaning t(n) ý, ý nghĩa
means t(n) của cải, tài sản, phương tiện
by means oftbằng phương tiện
meanwhilet(adv) trong lúc đó, trong lúc ấy
measure t(v) (n) đo, đo lường; sự đo lường, đơn vị đo lường
measurementt(n) sự đo lường, phép đo
meatt(n) thịt
media t(n) phương tiện truyền thông đại chúng
medical t(adj) (thuộc) y học
medicine	t(n) y học, y khoa; thuốc
mediumt(adj) (n) trung bình, trung, vừa; sự trung gian, sự môi giới
meett(v) gặp, gặp gỡ
meeting t(n) cuộc mít tinh, cuộc biểu tình
meltt(v) tan ra, chảy ra; làm tan chảy ra
membert(n) thành viên, hội viên
membership t(n) tư cách hội viên, địa vị hội viên
memoryt(n) bộ nhớ, trí nhớ, kỉ niệm
in memory oftsự tưởng nhớ
mentalt(adj) (thuộc) trí tuệ, trí óc; mất trí
mentally	t(adv) về mặt tinh thần
mention t(v) kể ra, nói đến, đề cập
menut(n) thực đơn
meret(adj) chỉ là
merelyt(adv) chỉ, đơn thuần
messt(n) tình trạng bừa bộn, tình trạng lộn xộn; người nhếch nhác, bẩn thỉu
message t(n) tin nhắn, thư tín, điện thông báo, thông điệp
metal t(n) kim loại
methodt(n) phương pháp, cách thức
metre t(n) mét
middayt(n) trưa, buổi trưa
middlet(n) (adj) giữa, ở giữa
midnight	t(n) nửa đêm, 12h đêm
mildt(adj) nhẹ, êm dịu, ôn hòa
milet(n) dặm (đo lường)
military	t(adj) (thuộc) quân đội, quân sự
milligramtmi-li-gam
millimetre tmi-li-met
mindt(n) (v) tâm trí, tinh thần, trí tuệ; chú ý, để ý, chăm sóc, quan tâm
mineral t(n) (adj) công nhân, thợ mỏ; khoáng
minimum t(adj) (n) tối thiểu; số lượng tối thiểu, mức tối thiểu
minister	t(n) bộ trưởng
ministry	t(n) bộ
minor t(adj) nhỏ hơn, thứ yếu, không quan trọng
minority	t(n) phần ít, thiểu số
minutet(n) phút
mirrort(n) gương
misst(v) (n) lỡ, trượt; sự trượt, sự thiếu vắng
missing t(adj) vắng, thiếu, thất lạc
mistake t(n) (v) lỗi, sai lầm, lỗi lầm; phạm lỗi, phạm sai lầm
mistaken	t(adj) sai lầm, hiểu lầm
mixt(v) (n) pha, trộn lẫn; sự pha trộn
mixed t(adj) lẫn lộn, pha trộn
mixture t(n) sự pha trộn, sự hỗn hợp
mobilet(adj) chuyển động, di động
model t(n) mẫu, kiểu mẫu
modernt(adj) hiện đại, tân tiến
momentt(n) chốc, lát
monitor t(n) (v) lớp trưởng, màn hình máy tính; nghe, ghi phát thanh, giám sát
moodt(n) lối, thức, điệu
moont(n) mặt trăng
moral t(adj) (thuộc) đạo đức, luân lý, phẩm hạnh; có đạo đức
morally t(adv) có đạo đức
moreover	t(adv) hơn nữa, ngoài ra, vả lại
mosttpro (n) (adv) lớn nhất, nhiều nhất; nhất, hơn cả
mostlyt(adv) hầu hết, chủ yếu là
motiont(n) sự chuyển động, sự di động
motor t(n) động cơ mô tô
motorcycle t(n) xe mô tô
mount t(v) (n) leo, trèo; núi
mountain	t(n) núi
mouse t(n) chuột
mouth t(n) miệng
movet(v) (n) di chuyển, chuyển động; sự di chuyển, sự chuyển động
movingt(adj) động, hoạt động
movement	t(n) sự chuyển động, sự hoạt động; cử động, động tác
movie theater trạp chiếu phim
mudt(n) bùn
multiply	t(v) nhân lên, làm tăng lên nhiều lần; sinh sôi nảy nở
murdert(n) (v) tội giết người, tội ám sát; giết người, ám sát
musclet(n) cơ, bắp thịt
museumt(n) bảo tàng
music t(n) nhạc, âm nhạc
musical t(adj) (thuộc) nhạc, âm nhạc; du dương, êm ái
musician	t(n) nhạc sĩ
mystery t(n) điều huyền bí, điều thần bí
mysterious t(adj) thần bí, huyền bí, khó hiểu
nailt(n) móng (tay, chân) móng vuốt
naked t(adj) trần, khỏa thân, trơ trụi
narrowt(adj) hẹp, chật hẹp
nationt(n) dân tộc, quốc gia
national	t(adj) (thuộc) quốc gia, dân tộc
natural t(adj) (thuộc) tự nhiên, thiên nhiên
naturallyt(adv) vốn, tự nhiên, đương nhiên
naturet(n) tự nhiên, thiên nhiên
navyt(n) hải quân
nearbyt(adj) (adv) gần
nearlyt(adv) gần, sắp, suýt
neatt(adj) sạch, ngăn nắp; rành mạch
neatlyt(adv) gọn gàng, ngăn nắp
necessaryt(adj) cần, cần thiết, thiết yếu
necessarilyt(adv) tất yếu, nhất thiết
unnecessaryt(adj) không cần thiết, không mong muốn
neckt(n) cổ
needt(v) (n) cần, đòi hỏi; sự cần
needlet(n) cái kim, mũi nhọn
negative	t(adj) phủ định
neighbourt(n) hàng xóm
neighbourhood t(n) hàng xóm, vùng lân cận, khoảng, chừng
neither tpro (n) (adv) không này mà cũng không kia
nephewt(n) cháu trai
nerve t(n) khí lực, thần kinh, can đảm
nervous t(adj) hoảng sợ, dễ bị kích thích, hay lo lắng
nervouslyt(adv) bồn chồn, lo lắng
nestt(n) (v) tổ, ổ; làm tổ
nett(n) lưới, mạng
network t(n) mạng lưới, hệ thống
neverthelesst(adv) tuy nhiên, tuy thế mà
newly t(adv) mới
newst(n) tin, tin tức
newspapert(n) báo
nicet(adj) đẹp, thú vị, dễ chịu
nicelyt(adv) thú vị, dễ chịu
niece t(n) cháu gái
noise t(n) tiếng ồn, sự huyên náo
noisy t(adj) ồn ào, huyên náo
noisily t(adv) ồn ào, huyên náo
nonetpro(n) không ai, không người, vật gì
nonsense	t(n) lời nói vô lý, vô nghĩa
nort(conj) (adv) cũng không
normalt(adj) (n) thường, bình thường; tình trạng bình thường
normally	t(adv) thông thường, như thường lệ
north t(n) (adj) (adv) phía bắc, phương bắc
northern	t(adj) Bắc
noset(n) mũi
notet(n) (v) lời ghi, lời ghi chép; ghi chú, ghi chép
noticet(n) (v) thông báo, yết thị; chú ý, để ý, nhận biết
take notice oftchú ý
noticeable t(adj) đáng chú ý, đáng để ý
novel t(n) tiểu thuyết, truyện
nowhere t(adv) không nơi nào, không ở đâu
nuclear t(adj) (thuộc) hạt nhân
nurse t(n) y tá
nutt(n) quả hạch; đầu
obeyt(v) vâng lời, tuân theo, tuân lệnh
objectt(n) vật, vật thể; phản đối, chống lại
objectivet(n) (adj) mục tiêu, mục đích; (thuộc) mục tiêu,khách quan
observationt(n) sự quan sát, sự theo dõi
observe t(v) quan sát, theo dõi
obtaint(v) đạt được, giành được
obvious t(adj) rõ ràng, rành mạch, hiển nhiên
obviouslyt(adv) một cách rõ ràng, có thể thấy được
occasion	t(n) dịp, cơ hội
occasionallyt(adv) thỉnh thoảng, đôi khi
occupyt(v) giữ, chiếm lĩnh, chiếm giữ
occupied	t(adj) đang sử dụng, đầy (người)
occur t(v) xảy ra, xảy đến, xuất hiện
ocean t(n) đại dương
oddt(adj) kỳ quặc, kỳ cục, lẻ (số)
oddly t(adv) kỳ quặc, kỳ cục, lẻ (số)
offt(adv) (prep) tắt; khỏi, cách, rời
offence t(n) sự vi phạm, sự phạm tội
offendt(v) xúc phạm, làm bực mình, làm khó chịu
offensivet(adj) sự tấn công, cuộc tấn công
offer t(v) (n) biếu, tặng, cho; sự trả giá
officet(n) cơ quan, văn phòng, bộ
officer t(n) viên chức, cảnh sát, sĩ quan
official	t(adj) (n) (thuộc) chính quyền, văn phòng; viên chức, công chức
officially t(adv) một cách trịnh trọng, một cách chính thứ
old fashioned t(adj) lỗi thời
oncet(adv) (conj) một lần; khi mà, ngay khi, một khi
each other tnhau, lẫn nhau
onion t(n) củ hành
onlyt(adj) (adv) chỉ có 1, duy nhất; chỉ, mới
ontot(prep) về phía trên, lên trên
opent(adj) (v) mở, ngỏ; mở, bắt đầu, khai mạc
openlyt(adv) công khai, thẳng thắn
opening t(n) khe hở, lỗ; sự bắt đầu, sự khai mạc, lễ khánh thành
operate t(v) hoạt động, điều khiển
operationt(n) sự hoạt động, quá trình hoạt động
opinion t(n) ý kiến, quan điểm
opponent	t(n) địch thủ, đối thủ, kẻ thù
opportunityt(n) cơ hội, thời cơ
opposet(v) đối kháng, đối chọi, đối lập; chống đối, phản đối
opposing	t(adj) tính đối kháng, đối chọi
opposed to tchống lại, phản đối
opposite	t(adj) (adv) (n)prep.đối nhau, ngược nhau; trước mặt, đối diện; điều trái ngược
opposition t(n) sự đối lập, sự đối nhau; sự chống lại, sự phản đối;phe đối lập
optiont(n) sự lựa chọn
oranget(n) (adj) quả cam; có màu da cam
order t(n) (v) thứ, bậc; ra lệnh
in order tothợp lệ
ordinary	t(adj) thường, thông thường
organ t(n) đàn óoc gan
organizationt(n) tổ chức, cơ quan; sự tổ chức
organize	t(v) tổ chức, thiết lập
organizedt(adj) có trật tự, ngăn nắp, được sắp xếp, được tổ chức
origint(n) gốc, nguồn gốc, căn nguyên
original	t(adj) (n) (thuộc) gốc, nguồn gốc, căn nguyên; nguyên bản
originally t(adv) một cách sáng tạo, mới mẻ, độc đáo; khởi đầu, đầu tiên
other t(adj) pro(n) khác
otherwiset(adv) khác, cách khác; nếu không thì...; mặt khác
ought to	t(v) phải, nên, hẳn là
ourselvestpro(n) bản thân chúng ta, bản thân chúng tôi
outdoors	t(adv) ở ngoài trời, ở ngoài nhà
outdoor t(adj) ngoài trời, ở ngoài
outer t(adj) ở phía ngoài, ở xa hơn
outline t(v) (n) vẽ, phác tảo; đường nét, hình dáng, nét ngoài
outputt(n) sự sản xuất; sản phẩm, sản lượng
outside t(adj) (adv) bề ngoài, bên ngoài; ở ngoài
outstandingt(adj) nổi bật, đáng chú ý; còn tồn lại
ovent(n) lò (nướng)
overt(adv).prep. bên trên, vượt qua; lên, lên trên
overall t(adj) (adv) toàn bộ, toàn thể; tất cả, bao gồm
overcome	t(v) thắng, chiến thắng, khắc phục, đánh bại
owet(v) nợ, hàm ơn; có được (cái gì)
ownt(adj) pro (n) (v) của chính mình, tự mình; nhận, nhìn nhận
owner t(n) người chủ, chủ nhân
pacet(n) bước chân, bước
packt(v) (n) gói, bọc; bó, gói
package t(n) (v) gói đồ, bưu kiện; đóng gói, đóng kiện
packagingt(n) bao bì
packett(n) gói nhỏ
paget(n) trang (sách)
paint(n) sự đau đớn, sự đau khổ
painful t(adj) đau đớn, đau khổ
paint t(n) (v) sơn, vôi màu; sơn, quét sơn
painting	t(n) sự sơn; bức họa, bức tranh
painter t(n) họa sĩ
pairt(n) đôi, cặp
palacet(n) cung điện, lâu đài
palet(adj) tái, nhợt
pant(n) xoong, chảo
panel t(n) ván ô (cửa, tường), pa nô
pants t(n) quần lót, đùi
paper t(n) giấy
parallel	t(adj) song song, tương đương
parentt(n) cha, mẹ
parkt(n) (v) công viên, vườn hoa; khoanh vùng thành công viên
parliament t(n) nghi viện, quốc hội
partt(n) phần, bộ phận
take part inttham gia vào
particular t(adj) riêng biệt, cá biệt
particularlyt(adv) một cách đặc biệt, cá biệt, riêng biệt
partlyt(adv) đến chừng mực nào đó, phần nào đó
partner t(n)/ đối tác, cộng sự
partnershipt(n) sự chung phần, sự cộng tác
party t(n) tiệc, buổi liên hoan; đảng
passt(v) qua, vượt qua, ngang qua
passing t(n) (adj) sự đi qua, sự trôi qua; thoáng qua, ngắn ngủi
passage t(n) sự đi qua, sự trôi qua; hành lang
passengert(n) hành khách
passport	t(n) hộ chiếu
pastt(adj) (adv) quá khứ, dĩ vãng; quá, qua
patht(n) đường mòn; hướng đi
patience	t(n) tính kiên nhẫn, nhẫn nại, kiên trì, sự chịu đựng
patient t(n) (adj) bệnh nhân; kiên nhẫn, nhẫn nại, bền chí
pattern t(n) mẫu, khuôn mẫu
pause t(v) (n) tạm nghỉ, dừng; sự tạm nghỉ, sự tạm ngừng
payt(v) (n) trả, thanh toán, nộp; tiền lương
payment t(n) sự trả tiền, số tiền trả, tiền bồi thường
peace t(n) hòa bình, sự hòa thuận
peaceful	t(adj) hòa bình, thái bình, yên tĩnh
peakt(n) lưỡi trai; đỉnh, chóp
penny t(n) đồng xu, số tiền
pencilt(n) bút chì
pension t(n) tiền trợ cấp, lương hưu
peoplet(n) dân tộc, dòng giống; người
peppert(n) hạt tiêu, cây ớt
pert(prep) cho mỗi
percent t(n) phần trăm
perfect t(adj) hoàn hảo
perfectlyt(adv) một cách hoàn hảo
perform t(v) biểu diễn; làm, thực hiện
performancet(n) sự làm, sự thực hiện, sự thi hành, sự biểu diễn
performert(n) người biểu diễn, người trình diễn
perhaps t(adv) có thể, có lẽ
periodt(n) kỳ, thời kỳ, thời gian; thời đại
permanentt(adj) lâu dài, vĩnh cửu, thường xuyên
permanentlyt(adv) cách thường xuyên, vĩnh cửu
permission t(n) sự cho phép, giấy phép
permitt(v) /'pə:mit/ cho phép, cho cơ hội
persont(n) con người, người
personal	t(adj) cá nhân, tư, riêng tư
personally t(adv) đích thân, bản thân, về phần rôi, đối với tôi
personalityt(n) nhân cách, tính cách; nhân phẩm, cá tính
persuade	t(v) thuyết phục
pett(n) cơn nóng giận; vật cưng, người được yêu thích
petrolt(n) xăng dầu
phase t(n) tuần trăng; giai đoạn, thời kỳ
philosophy t(n) triết học, triết lý
photocopyt(n) (v) bản sao chụp; sao chụp
photograph t(n) (v) ảnh, bức ảnh; chụp ảnh
photographert(n) thợ chụp ảnh, nhà nhiếp ảnh
photographyt(n) thuật chụp ảnh, nghề nhiếp ảnh
phraset(n) câu; thành ngữ, cụm từ
physical	t(adj) vật chất; (thuộc) cơ thể, thân thể
physically t(adv) về thân thể, theo luật tự nhiên
physics t(n) vật lý học
pickt(v) cuốc (đất); đào, khoét (lỗ)
pick sth uptcuốc, vỡ, xé
picture t(n) bức vẽ, bức họa
piece t(n) mảnh, mẩu; đồng tiền
pilet(n) (v) cọc, chồng, đống, pin; đóng cọc, chất chồng
pillt(n) viên thuốc
pilot t(n) phi công
pint(n) (v) đinh ghim; ghim, kẹp
pinkt(adj) (n) màu hồng; hoa cẩm chướng, tình trạng tốt, hoàn hảo
