25	a	<I><Q>@a /ei, ə/<br />*  danh từ,  số nhiều as,  a's<br />- (thông tục) loại a, hạng nhất, hạng tốt nhất hạng rất tốt<br />=his health is a+ sức khoẻ anh ta vào loại a<br />- (âm nhạc) la<br />=a sharp+ la thăng<br />=a flat+ la giáng<br />- người giả định thứ nhất; trường hợp giả định thứ nhất<br />=from a to z+ từ đầu đến đuôi, tường tận<br />=not to know a from b+ không biết tí gì cả; một chữ bẻ đôi cũng không biết<br />*  mạo từ<br />- một; một (như kiểu); một (nào đó)<br />=a very cold day+ một ngày rất lạnh<br />=a dozen+ một tá<br />=a few+ một ít<br />=all of a size+ tất cả cùng một cỡ<br />=a Shakespeare+ một (văn hào như kiểu) Sếch-xpia<br />=a Mr Nam+ một ông Nam (nào đó)<br />- cái, con, chiếc, cuốn, người, đứa...;<br />=a cup+ cái chén<br />=a knife+ con dao<br />=a son of the Party+ người con của Đảng<br />=a Vietnamese grammar+ cuốn ngữ pháp Việt Nam<br />*  giới từ<br />- mỗi, mỗi một<br />=twice a week+ mỗi tuần hai lần<br /><br />@a/c<br />- (vt của account current) tài khoản vãng lai (tức là bằng séc)<br />- có nghĩa giống như nghĩa của account</Q></I>
26	A A	<I><Q>@aa<br />- (Alcoholics Anonymous) Hội cai rượu<br />- (Automobile Association) Hội ô tô</Q></I>
27	A A A	<I><Q>@aaa<br />- (Amateur Athletic Association) Hội thể thao không chuyên<br />- (American Automobile Association) Hiệp hội xe hơi Mỹ</Q></I>
28	a b c	<I><Q>@a b c /'eibi:'si:/<br />*  danh từ<br />- bảng chữ cái<br />- khái niệm cơ sở, cơ sở<br />=a_b_c of chemistry+ khái niệm cơ sở về hoá học, cơ sở hoá học<br />- (ngành đường sắt) bảng chỉ đường theo abc</Q></I>
29	a b c - book	<I><Q>@a b c - book /'eibi:'si:buk/<br />*  danh từ<br />- sách vỡ lòng, sách học vần</Q></I>
30	a-bomb	<I><Q>@a-bomb /'ei'bɔm/<br />*  danh từ<br />- bom nguyên tử</Q></I>
31	A-D	<I><Q>@A-D = A/D = a-d (analog-to-digital)<br />- (Tech) đổi  dạng sóng (dạng tương tự) sang dạng số</Q></I>
32	a.d.	<I><Q>@a.d. /'ei'di:/<br />*  (viết tắt) của Ano Domin<br />- sau công nguyên<br />=1540 a.d.+ năm 1540 sau công nguyên</Q></I>
33	a.d.c	<I><Q>@a.d.c<br />- (vt của aide-de-camp) sự quan phụ tá</Q></I>
34	A-D conversion	<I><Q>@A-D conversion<br />- (Tech) đổi sóng (tương tự) - số</Q></I>
35	A-D converter circuit	<I><Q>@A-D converter circuit<br />- (Tech) mạch đổi sóng-số</Q></I>
36	A except B gate	<I><Q>@A except B gate<br />- (Tech) cổng A loại trừ B</Q></I>
37	a font	<I><Q>@a font /ɑ:'fɜ:ɳ/<br />*  phó từ<br />- thấu triệt, cặn kẽ, rõ ngọn nghành</Q></I>
38	a fortiori	<I><Q>@a fortiori /'ei,fɔ:ti'ɔ:rai/<br />*  phó từ<br />- huống hồ, huống là<br /><br />@a fortiori<br />- lại càng</Q></I>
39	a-going	<I><Q>@a-going /ə'gouiɳ/<br />*  tính từ &amp; phó từ<br />- đang chạy, đang chuyển động; đang hoạt động, đang tiến hành<br />=to set a-going+ cho chuyển động, cho chạy (máy...)</Q></I>
40	A ignore B gate	<I><Q>@A ignore B gate<br />- (Tech) cổng A không biết B</Q></I>
41	A implies B gate	<I><Q>@A implies B gate<br />- (Tech) cổng A bao hàm B</Q></I>
42	a la carte	<I><Q>@a la carte /'ɑ:lɑ:'kɑ:t/<br />*  phó từ<br />- theo món, gọi theo món, đặt theo món<br />=to dine a_la_carte+ ăn cơm gọi theo món</Q></I>
43	a la mode	<I><Q>@a la mode /,ɑ:lə'moud/<br />*  phó từ<br />- hợp thời trang, đúng mốt</Q></I>
44	a.m	<I><Q>@a.m<br />- (vt)(radio)viết tắt của amplitude modulation) biến điệu biên độ<br />- &lt;Mỹ&gt; (vt của Master of Arts) cao học văn chương<br />- (vt của tiếng Latinh Antemeridian) sáng, trước ngọ</Q></I>
45	a.m.	<I><Q>@a.m. /'ei'em/<br />*  phó từ<br />- (xem) ante_meridiem</Q></I>
46	a-ok	<I><Q>@a-ok<br />* tính từ<br />- &lt;Mỹ,khng&gt; giống như OK nhấn mạnh</Q></I>
47	a-pac-thai	<I><Q>@a-pac-thai<br />* danh từ<br />- apartheid</Q></I>
48	a-plenty	<I><Q>@a-plenty /ə'plenti/<br />*  phó từ<br />- (từ Mỹ,nghĩa Mỹ) nhiều, dồi dào, phong phú</Q></I>
49	a-point	<I><Q>@a-point<br />- (giải tích) a- điểm</Q></I>
50	a posteriori	<I><Q>@a posteriori /'eipɔs,teri'ɔ:rai/<br />*  phó từ &amp; tính từ<br />- theo phép quy nạp<br />=method a_posteriori+ phương pháp quy nạp<br />- hậu nghiệm<br />=probability a_posteriori+ (toán học) xác suất hậu nghiệm<br /><br />@a posteriori<br />- hậu nghiệm</Q></I>
51	a-power	<I><Q>@a-power /'ei'pauə/<br />*  danh từ<br />- năng lượng nguyên tử<br />- cường quốc nguyên tử</Q></I>
52	a priori	<I><Q>@a priori /'eiprai'ɔ:rai/<br />*  danh từ &amp; phó từ<br />- theo cách suy diễn, theo cách diễn dịch<br />- tiên nghiệm<br />=probability a_priori+ (toán học) xác xuất tiên nghiệm<br /><br />@a priori<br />- tiên nghiệm</Q></I>
53	a-road	<I><Q>@a-road<br />* danh từ<br />- đường lớn, không quan trọng bằng xa lộ, nhưng rộng và thẳng hơn đường loại B</Q></I>
54	a.s.a.p.	<I><Q>@asap<br />* (viết tắt)<br />- càng sớm càng tốt (As soon as possible)</Q></I>
55	A shares	<I><Q>@A shares<br />- (Econ) Cổ phiếu A.(Cổ phiếu hưởng lãi sau).<br />+ Xem FINANCIAL CAPITAL.</Q></I>
56	a-side	<I><Q>@a-side<br />* danh từ<br />- mặt chính của dĩa hát</Q></I>
57	A W O L	<I><Q>@awol /'eiwɔ:l/<br />*  tính từ<br />- (quân sự) nghỉ không được phép, nghỉ không xin phép</Q></I>
58	A4-size	<I><Q>@A4-size<br />- (Tech) khổ giấy A4 (21 cm x 29.7 cm)</Q></I>
59	aa	<I><Q>@aa<br />- (Alcoholics Anonymous) Hội cai rượu<br />- (Automobile Association) Hội ô tô</Q></I>
60	aaa	<I><Q>@aaa<br />- (Amateur Athletic Association) Hội thể thao không chuyên<br />- (American Automobile Association) Hiệp hội xe hơi Mỹ</Q></I>
61	aard-wolf	<I><Q>@aard-wolf /'ɑ:d,wulf/<br />*  danh từ<br />- (động vật học) chó sói đất (Nam Phi)</Q></I>
62	aardvark	<I><Q>@aardvark<br />* danh từ<br />- (động vật) lợn đất</Q></I>
63	aardvarks	<I><Q>@aardvark<br />* danh từ<br />- (động vật) lợn đất</Q></I>
64	aardwolf	<I><Q>@aardwolf<br />* danh từ<br />- &lt;động&gt; chó sói đất (Nam Phi)</Q></I>
65	aardwolves	<I><Q>@aardwolf<br />* danh từ<br />- &lt;động&gt; chó sói đất (Nam Phi)</Q></I>
66	aasvogel	<I><Q>@aasvogel /'ɑ:sfougəl/<br />*  danh từ<br />- (động vật học) con kên kên (Nam Phi)</Q></I>
67	ab	<I><Q>@ab<br />- (vt của able-bodied seaman) thủy thủ hạng nhất<br />- (vt của Bachelor of Arts) Cử nhân văn chương</Q></I>
68	aba	<I><Q>@aba /'ɑ:bə/<br />*  danh từ<br />- áo aba (áo ngoài giống hình cái túi người A-Rập)</Q></I>
69	abac, abacus	<I><Q>@abac, abacus<br />- bàn tính, toán đồ, bản đồ tính</Q></I>
70	abaca	<I><Q>@abaca<br />* danh từ<br />- vải dệt bằng tơ chuối abaca ở philipin<br />- cây chuối abaca</Q></I>
71	abaci	<I><Q>@abaci /'æbəkəs/<br />*  danh từ,  số nhiều abaci,  abacuses<br />- bàn tính<br />=to move counters of an abacus; to work an abacus+ tính bằng bàn tính, gảy bàn tính<br />- (kiến trúc)<br />- đầu cột, đỉnh cột</Q></I><I><Q>@abacus /'æbəkəs/<br />*  danh từ,  số nhiều abaci,  abacuses<br />- bàn tính<br />=to move counters of an abacus; to work an abacus+ tính bằng bàn tính, gảy bàn tính<br />- (kiến trúc)<br />- đầu cột, đỉnh cột<br /><br />@abacus<br />- (Tech) bàn toán</Q></I>
72	abacist	<I><Q>@abacist<br />* danh từ<br />- người gãy bàn phím<br />- người kế toán</Q></I>
73	aback	<I><Q>@aback /ə'bæk/<br />*  phó từ<br />- lùi lại, trở lại phía sau<br />=to stand aback from+ đứng lùi lại để tránh<br />- (hàng hải) bị thổi ép vào cột buồm (buồm)<br />=to be taken aback+ (hàng hải) bị gió thổi ép vào cột buồm<br />- (nghĩa bóng) sửng sốt, ngạc nhiên<br />=to be taken aback by the news+ sửng sốt vì cái tin đó</Q></I>
74	abacterial	<I><Q>@abacterial<br />* tính từ<br />- không do vi khuẩn gây ra</Q></I>
75	abaction	<I><Q>@abaction<br />* danh từ<br />- (từ pháp) việc gia súc bị bắt trộm</Q></I>
76	abactus	<I><Q>@abactus<br />* tính từ<br />- bị trụy thai</Q></I>
77	abacus	<I><Q>@abacus /'æbəkəs/<br />*  danh từ,  số nhiều abaci,  abacuses<br />- bàn tính<br />=to move counters of an abacus; to work an abacus+ tính bằng bàn tính, gảy bàn tính<br />- (kiến trúc)<br />- đầu cột, đỉnh cột<br /><br />@abacus<br />- (Tech) bàn toán</Q></I>
78	abacuses	<I><Q>@abacus /'æbəkəs/<br />*  danh từ,  số nhiều abaci,  abacuses<br />- bàn tính<br />=to move counters of an abacus; to work an abacus+ tính bằng bàn tính, gảy bàn tính<br />- (kiến trúc)<br />- đầu cột, đỉnh cột<br /><br />@abacus<br />- (Tech) bàn toán</Q></I>
79	abaddon	<I><Q>@abaddon /ə'bædən/<br />*  danh từ<br />- âm ti, địa ngục<br />- con quỷ</Q></I>
80	abaft	<I><Q>@abaft /ə'bɑ:ft/<br />*  phó từ<br />- (hàng hải) ở phía sau bánh lái, gần phía bánh lái<br />*  giới từ<br />- (hàng hải) sau, ở đằng sau, ở phía sau<br />=abaft the mast+ sau cột buồm</Q></I>
81	abalienate	<I><Q>@abalienate<br />* ngoại động từ<br />- nhường lại tài sản</Q></I>
82	abalienated	<I><Q>@abalienate<br />* ngoại động từ<br />- nhường lại tài sản</Q></I>
83	abalienates	<I><Q>@abalienate<br />* ngoại động từ<br />- nhường lại tài sản</Q></I>
84	abalienating	<I><Q>@abalienate<br />* ngoại động từ<br />- nhường lại tài sản</Q></I>
85	abalienation	<I><Q>@abalienation<br />* danh từ<br />- sự nhường lại tài sản</Q></I>
86	abalone	<I><Q>@abalone /,æbə'louni/<br />*  danh từ<br />- (từ Mỹ,nghĩa Mỹ) bào ngư</Q></I>
87	abalones	<I><Q>@abalone /,æbə'louni/<br />*  danh từ<br />- (từ Mỹ,nghĩa Mỹ) bào ngư</Q></I>
88	abampere	<I><Q>@abampere<br />- (Tech) abampe, ampe tuyệt đối (đơn vị cường độ tuyệt đối của dòng điện, 1 abampe = 10 ampe)</Q></I>
89	abandon	<I><Q>@abandon /ə'bændən/<br />*  ngoại động từ<br />- bộm (nhiếp ảnh) (nhiếp ảnh) (từ Mỹ,nghĩa Mỹ) từ bỏ; bỏ rơi, ruồng bỏ<br />=to abandon a hope+ từ bỏ hy vọng<br />=to abandon one's wife and children+ ruồng bỏ vợ con<br />=to abandon oneself to+ đắm đuối, chìm đắm vào (nỗi thất vọng...)<br />*  danh từ<br />- sự phóng túng, sự tự do, sự buông thả<br />=with abandon+ phóng túng<br /><br />@abandon<br />- (Tech) bỏ, bỏ rơi (đ)</Q></I>
90	abandon call	<I><Q>@abandon call<br />- (Tech) gọi bỏ</Q></I>
91	abandoned	<I><Q>@abandoned /ə'bændənd/<br />*  tính từ<br />- bị bỏ rơi, bị ruồng bỏ<br />- phóng đãng, truỵ lạc</Q></I><I><Q>@abandon /ə'bændən/<br />*  ngoại động từ<br />- bộm (nhiếp ảnh) (nhiếp ảnh) (từ Mỹ,nghĩa Mỹ) từ bỏ; bỏ rơi, ruồng bỏ<br />=to abandon a hope+ từ bỏ hy vọng<br />=to abandon one's wife and children+ ruồng bỏ vợ con<br />=to abandon oneself to+ đắm đuối, chìm đắm vào (nỗi thất vọng...)<br />*  danh từ<br />- sự phóng túng, sự tự do, sự buông thả<br />=with abandon+ phóng túng<br /><br />@abandon<br />- (Tech) bỏ, bỏ rơi (đ)</Q></I>
92	abandoner	<I><Q>@abandoner /ə'bændənə/<br />*  danh từ<br />- (pháp lý) người rút đơn</Q></I>
93	abandoners	<I><Q>@abandoner /ə'bændənə/<br />*  danh từ<br />- (pháp lý) người rút đơn</Q></I>
94	abandoning	<I><Q>@abandon /ə'bændən/<br />*  ngoại động từ<br />- bộm (nhiếp ảnh) (nhiếp ảnh) (từ Mỹ,nghĩa Mỹ) từ bỏ; bỏ rơi, ruồng bỏ<br />=to abandon a hope+ từ bỏ hy vọng<br />=to abandon one's wife and children+ ruồng bỏ vợ con<br />=to abandon oneself to+ đắm đuối, chìm đắm vào (nỗi thất vọng...)<br />*  danh từ<br />- sự phóng túng, sự tự do, sự buông thả<br />=with abandon+ phóng túng<br /><br />@abandon<br />- (Tech) bỏ, bỏ rơi (đ)</Q></I>
95	abandonment	<I><Q>@abandonment /ə'bændənmənt/<br />*  danh từ<br />- sự bỏ, sự từ bỏ, sự bỏ rơi, sự ruồng bỏ<br />- tình trạng bị bỏ rơi, tình trạng bị ruồng bỏ<br />- sự phóng túng, sự tự do, sự buông thả<br /><br />@abandonment<br />- (Tech) bỏ, từ bỏ (d)</Q></I>
96	abandonments	<I><Q>@abandonment /ə'bændənmənt/<br />*  danh từ<br />- sự bỏ, sự từ bỏ, sự bỏ rơi, sự ruồng bỏ<br />- tình trạng bị bỏ rơi, tình trạng bị ruồng bỏ<br />- sự phóng túng, sự tự do, sự buông thả<br /><br />@abandonment<br />- (Tech) bỏ, từ bỏ (d)</Q></I>
97	abandons	<I><Q>@abandon /ə'bændən/<br />*  ngoại động từ<br />- bộm (nhiếp ảnh) (nhiếp ảnh) (từ Mỹ,nghĩa Mỹ) từ bỏ; bỏ rơi, ruồng bỏ<br />=to abandon a hope+ từ bỏ hy vọng<br />=to abandon one's wife and children+ ruồng bỏ vợ con<br />=to abandon oneself to+ đắm đuối, chìm đắm vào (nỗi thất vọng...)<br />*  danh từ<br />- sự phóng túng, sự tự do, sự buông thả<br />=with abandon+ phóng túng<br /><br />@abandon<br />- (Tech) bỏ, bỏ rơi (đ)</Q></I>
98	abapikal	<I><Q>@abapikal<br />* tính từ<br />- (sinh học) xa đỉnh; xa ngọn<br />- dưới vực</Q></I>
99	abarticular	<I><Q>@abarticular<br />* tính từ<br />- (giải phẫu) học ngoài khớp; trật khớp</Q></I>
100	abas	<I><Q>@aba /'ɑ:bə/<br />*  danh từ<br />- áo aba (áo ngoài giống hình cái túi người A-Rập)</Q></I>
